Reporter Name,Partner Name,Trade Flow,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kenya,Greece,Export,Export Partner Share (%),0.2117,,,,,0.2675,0.2482,0.188,0.1147,0.2048,0.1537,0.1786,0.1252,0.0997,0.1029,0.0959,0.0821,0.0578,0.0323,,,0.0555,,0.0425,0.051,0.0907,0.0652,0.0656,0.0648
Kenya,Grenada,Export,Export Partner Share (%),,,,,,,,,,,,0.0001,0,0.0002,,0.0024,,0.0007,0.0006,,,,,0.026,0.0024,0,0.0012,,0
Kenya,Guam,Export,Export Partner Share (%),,,,,,,,,,,,,0.0016,0.0015,,,,,,,,,,0.0036,,,0,0.0001,
Kenya,Guatemala,Export,Export Partner Share (%),,,,,,,,,,0.0013,0.001,0.0003,0.0037,0.0012,,,0.0009,0,0.0012,,,0.0005,,0.0047,0.0003,0.0012,0.0001,0,0.0002
Kenya,Guinea,Export,Export Partner Share (%),0.0001,,,,,0.0028,0.0082,0.0141,0.0043,0.007,0.0148,0.0505,0.0438,0.0127,0.0119,0.0169,0.0308,0.0033,0.0115,,,0.0019,,0.0059,0.0001,0.0049,0.0039,0.0265,0.0089
Kenya,Guinea-Bissau,Export,Export Partner Share (%),,,,,,,0.0002,,0.0003,,0,0.0001,0.0001,0.0001,,0.0002,0.0001,,0.0001,,,0.001,,0.0058,0.0005,0.0019,0.0007,0.0005,0
Kenya,Guyana,Export,Export Partner Share (%),,,,,,,,,,,,0.004,0.0167,0.0005,,,0.0009,,0.0001,,,0,,0.0002,0.0007,0.0002,0.0027,0,
Kenya,Haiti,Export,Export Partner Share (%),,,,,,,,,,,0.0007,,0,,0,0.0009,0.0242,0.0003,0.0179,,,0,,0.0103,0.0096,0.0019,0.0001,0.0005,0.0088
Kenya,Heard Island and McDonald Isla,Export,Export Partner Share (%),,,,,,,,,,,,0.0073,0,,,,,,,,,,,,,,,,
Kenya,Holy See,Export,Export Partner Share (%),,,,,,,,,,,,,0.1809,,,,,0.0009,,,,,,,,,,,0
Kenya,Honduras,Export,Export Partner Share (%),,,,,,,,,,,0.0047,0.0345,0.0527,0.0537,0.0021,0,,0.0079,0.0012,,,0.0019,,0.0032,0.0015,0.0007,0.0031,0.0001,0.0015
Kenya,"Hong Kong, China",Export,Export Partner Share (%),0.2299,,,,,0.314,0.226,0.2465,0.5047,0.5511,0.3002,0.4073,0.6457,0.4043,0.3929,0.4011,0.3875,0.5366,0.5418,,,0.6855,,0.2841,0.2373,1.0788,1.1397,0.2789,0.1782
Kenya,Hungary,Export,Export Partner Share (%),0.005,,,,,0.0146,0.0023,0.0079,0.0071,0.0055,0.0462,0.0277,0.0051,0.0016,0.0039,0.0055,0.006,0.0149,0.0131,,,0.0024,,0.0245,0.017,0.026,0.0207,0.0749,0.013
Kenya,Iceland,Export,Export Partner Share (%),,,,,,,,,,0.0002,0.0002,0.0018,0.0168,0.0148,0.0044,0.0044,0,0.0027,0.0117,,,0.0013,,0.0096,0.0017,0.0009,0.0027,0.0026,0.0015
Kenya,India,Export,Export Partner Share (%),0.5058,,,,,1.0346,1.5783,1.5116,1.105,1.915,2.4642,1.3971,1.9032,1.5529,1.4912,2.1252,1.9635,1.4894,2.0687,,,1.9823,,1.541,2.0618,1.0068,1.4848,0.908,1.199
Kenya,Indonesia,Export,Export Partner Share (%),0.1544,,,,,0.0544,0.0694,0.1034,0.0874,0.0595,0.0655,0.1328,0.2247,0.297,0.1261,0.1529,0.1948,0.1642,0.2414,,,0.2616,,0.2278,0.1616,0.2005,0.1782,0.1821,0.1343
Kenya,"Iran, Islamic Rep.",Export,Export Partner Share (%),0.0368,,,,,0.6483,0.8685,0.3925,0.3078,0.3464,0.0094,0.0392,0.0592,0.1356,0.1854,0.0895,0.146,0.1099,0.2095,,,0.5868,,0.1982,0.304,0.2565,0.3547,0.3568,0.2537
